Section,Topic,Difficulty,Priority
Quantitative Aptitude,Percentages,Easy-Medium,Very High
Quantitative Aptitude,Profit and Loss,Easy-Medium,Very High
Quantitative Aptitude,Ratio and Proportion,Easy-Medium,Very High
Quantitative Aptitude,Average,Easy,Very High
Quantitative Aptitude,Time and Work,Medium,Very High
Logical Reasoning,Coding Decoding,Easy,Very High
Logical Reasoning,Blood Relations,Easy,Very High
Logical Reasoning,Direction Sense,Easy,Very High
Logical Reasoning,Seating Arrangement,Medium,High
Logical Reasoning,Logical Puzzles,Medium,High
Verbal Ability,Reading Comprehension,Medium,Very High
Verbal Ability,Grammar,Easy-Medium,Very High
Verbal Ability,Vocabulary,Easy-Medium,High
Verbal Ability,Error Spotting,Easy-Medium,Very High
Verbal Ability,Sentence Correction,Medium,High
